文件名,数据条目数
c3_user_zmpRXVn_timeseries.csv,745
c6_user_czwEXtt_timeseries.csv,742
c5_user_czwEXtt_timeseries.csv,742
c7_user_DrrEIEW_timeseries.csv,723
c8_user_DrrEIEW_timeseries.csv,723
c2_user_czwEXtt_timeseries.csv,706
c6_user_nC4Gd26_timeseries.csv,685
c5_user_nC4Gd26_timeseries.csv,685
c5_user_ly4HE4d_timeseries.csv,669
c6_user_ly4HE4d_timeseries.csv,669
c4_user_DrrEIEW_timeseries.csv,667
c3_user_czwEXtt_timeseries.csv,666
c3_user_DrrEIEW_timeseries.csv,596
c4_user_ly4HE4d_timeseries.csv,553
c1_user_czwEXtt_timeseries.csv,485
c2_user_DrrEIEW_timeseries.csv,483
c1_user_DrrEIEW_timeseries.csv,468
c1_user_PeO35q9_timeseries.csv,465
c1_user_9alBj46_timeseries.csv,459
c3_user_DHJYL1I_timeseries.csv,452
c6_user_jW2GJpO_timeseries.csv,434
c5_user_jW2GJpO_timeseries.csv,434
c8_user_ly4HE4d_timeseries.csv,426
c7_user_ly4HE4d_timeseries.csv,426
c4_user_czwEXtt_timeseries.csv,389
c3_user_ly4HE4d_timeseries.csv,357
c7_user_jW2GJpO_timeseries.csv,351
c8_user_jW2GJpO_timeseries.csv,351
c2_user_HuJTGzf_timeseries.csv,330
c5_user_BcfnAv3_timeseries.csv,327
c6_user_BcfnAv3_timeseries.csv,327
